date,close,rate,mean,pos,neg,neu
2023/7/19,1.2937,-0.7442,-0.9,0,1,0
2023/7/20,1.2865,-0.5565,0.4,1,0,0
2023/7/21,1.2855,-0.0777,0.3,1,0,0
2023/7/24,1.2832,-0.1789,-0.5,0,1,0
2023/7/25,1.29,0.5299,0,0,0,0
2023/7/26,1.2939,0.3023,0.5,1,0,0
2023/7/27,1.2793,-1.1284,-0.4,0,1,0
2023/7/28,1.285,0.4456,-0.8,0,1,0
2023/7/31,1.2837,-0.1012,0,0,0,0
2023/8/1,1.2777,-0.4674,-0.6,0,1,0
2023/8/2,1.2709,-0.5322,-0.7,0,1,0
2023/8/3,1.2713,0.0315,0.4,1,0,0
2023/8/4,1.2748,0.2753,0,0,0,0
2023/8/7,1.2784,0.2824,0.3,1,0,0
2023/8/8,1.2746,-0.2972,-0.7,0,1,0
2023/8/9,1.2718,-0.2197,-0.3,0,1,0
2023/8/10,1.2675,-0.3381,0.3,1,0,0
2023/8/11,1.2694,0.1499,0.5,1,0,0
2023/8/14,1.268,-0.1103,-0.6,0,1,0
2023/8/15,1.2703,0.1814,0.3,1,0,0
2023/8/16,1.2727,0.1889,0.3,1,0,0
2023/8/17,1.2745,0.1414,-0.4,0,1,0
2023/8/18,1.273,-0.1177,-0.4,0,1,0
2023/8/21,1.2754,0.1885,0,0,0,0
2023/8/22,1.273,-0.1882,0.5,1,0,0
2023/8/23,1.2726,-0.0314,-0.5,0,1,0
2023/8/24,1.2599,-0.998,-0.5,0,1,0
2023/8/25,1.2577,-0.1746,-0.9,0,1,0
2023/8/28,1.2603,0.2067,0,0,0,0
2023/8/29,1.2638,0.2777,0.4,1,0,0
2023/8/30,1.2718,0.633,0.5,1,0,0
2023/8/31,1.2673,-0.3538,-0.15,0,1,0
2023/9/1,1.2588,-0.6707,0.05,1,0,0
2023/9/4,1.2621,0.2622,-0.2,0,1,0
2023/9/5,1.2563,-0.4596,-0.08,0,1,0
2023/9/6,1.2505,-0.4617,-0.03,0,1,0
2023/9/7,1.2473,-0.2559,-0.01,0,1,0
2023/9/8,1.2464,-0.0722,-0.1,0,1,0
2023/9/11,1.2509,0.361,0.5,1,0,0
2023/9/12,1.2484,-0.1999,0,0,0,1
2023/9/13,1.2488,0.032,-0.03,0,1,0
2023/9/14,1.2409,-0.6326,-0.05,0,1,0
2023/9/15,1.2389,-0.1612,-0.1,0,1,0
2023/9/18,1.2382,-0.0565,-0.2,0,1,0
2023/9/19,1.239,0.0646,0.02,1,0,0
2023/9/20,1.2344,-0.3713,0.05,1,0,0
2023/9/21,1.2294,-0.4051,-0.03,0,1,0
2023/9/22,1.2238,-0.4555,0,0,0,1
2023/9/25,1.2211,-0.2206,-0.2,0,1,0
2023/9/26,1.2157,-0.4422,0,0,0,0
2023/9/27,1.2134,-0.1892,-0.1,0,1,0
2023/9/28,1.2197,0.5192,0.22,1,0,0
2023/9/29,1.2197,0,0.5,1,0,0
2023/10/2,1.2086,-0.9101,0.1,1,0,0
2023/10/3,1.2075,-0.091,-0.1,0,1,0
2023/10/4,1.2128,0.4389,0,0,0,0
2023/10/5,1.219,0.5112,0,0,0,0
2023/10/6,1.2238,0.3938,0,0,0,0
2023/10/9,1.2236,-0.0163,0,0,0,0
2023/10/10,1.2285,0.4005,0,0,0,0
2023/10/11,1.2311,0.2116,0,0,0,0
2023/10/12,1.2173,-1.1209,0,0,0,0
2023/10/13,1.2141,-0.2629,0,0,0,0
2023/10/16,1.2216,0.6177,0,0,0,0
2023/10/17,1.2178,-0.3111,0,0,0,0
2023/10/18,1.214,-0.312,0,0,0,0
2023/10/19,1.2143,0.0247,0,0,0,0
2023/10/20,1.216,0.14,-0.04,0,1,0
2023/10/23,1.2248,0.7237,-0.1,0,1,0
2023/10/24,1.2159,-0.7266,0,0,0,0
2023/10/25,1.2108,-0.4194,-0.1,0,1,0
2023/10/26,1.2126,0.1487,-0.1,0,1,0
2023/10/27,1.2122,-0.033,0,0,0,0
2023/10/30,1.2168,0.3795,-0.1,0,1,0
2023/10/31,1.2152,-0.1315,-0.1,0,1,0
2023/11/1,1.215,-0.0165,-0.2,0,1,0
2023/11/2,1.2201,0.4198,0.23,1,0,0
2023/11/3,1.2376,1.4343,1.01,1,0,0
2023/11/6,1.2341,-0.2828,0.21,1,0,0
2023/11/7,1.2299,-0.3403,-0.05,0,1,0
2023/11/8,1.2282,-0.1382,0,0,0,0
2023/11/9,1.2221,-0.4967,0,0,0,1
2023/11/10,1.2222,0.0082,-0.02,0,1,0
2023/11/13,1.2278,0.4582,0,0,0,0
2023/11/14,1.2497,1.7837,1.5,1,0,0
2023/11/15,1.2418,-0.6322,1.01,1,0,0
2023/11/16,1.2406,-0.0966,0,0,0,0
2023/11/17,1.2461,0.4433,0,0,0,0
2023/11/20,1.2504,0.3451,0,0,0,0
2023/11/21,1.2537,0.2639,0,0,0,0
2023/11/22,1.2492,-0.3589,0,0,0,0
2023/11/23,1.2533,0.3282,0,0,0,0
2023/11/24,1.2603,0.5585,0,0,0,0
2023/11/27,1.2625,0.1746,0,0,0,0
2023/11/28,1.2693,0.5386,0,0,0,0
2023/11/29,1.2694,0.0079,0,0,0,0
2023/11/30,1.2622,-0.5672,0,0,0,0
2023/12/1,1.27,0.618,0,0,0,0
2023/12/4,1.2632,-0.5354,0,0,0,0
2023/12/5,1.2593,-0.3087,0,0,0,0
2023/12/6,1.2559,-0.27,0,0,0,0
2023/12/7,1.259,0.2468,0,0,0,0
2023/12/8,1.2546,-0.3495,0,0,0,0
2023/12/11,1.2553,0.0558,0,0,0,0
2023/12/12,1.2561,0.0637,0,0,0,0
2023/12/13,1.2618,0.4538,0,0,0,0
2023/12/14,1.2766,1.1729,1,1,0,0
2023/12/15,1.2675,-0.7128,0.2,1,0,0
2023/12/18,1.2642,-0.2604,0,0,0,1
2023/12/19,1.273,0.6961,0.46,1,0,0
2023/12/20,1.2637,-0.7306,-0.05,0,1,0
2023/12/21,1.2688,0.4036,0,0,0,0
